UniProtKB:A0A2Z4LIS9	FOXO3B
UniProtKB:P41970	ELK3
UniProtKB:Q15723	ELF2
UniProtKB:Q5TC79	ZBTB37
UniProtKB:P43694	GATA4
UniProtKB:P52954	LBX1
UniProtKB:P84550	SKOR1
UniProtKB:P86452	ZBED6
UniProtKB:Q05481	ZNF91
UniProtKB:Q7L3S4	ZNF771
UniProtKB:Q99958	FOXC2
UniProtKB:Q99929	ASCL2
UniProtKB:A6NCS4	NKX2-6
UniProtKB:O94993	SOX30
UniProtKB:Q86UQ0	ZNF589
UniProtKB:Q9BZS1	FOXP3
UniProtKB:P28702	RXRB
UniProtKB:P43699	NKX2-1
UniProtKB:P08235	NR3C2
UniProtKB:Q8IUM7	NPAS4
UniProtKB:Q3KNW1	SNAI3
UniProtKB:P55055	NR1H2
UniProtKB:Q8TAU0	NKX2-3
UniProtKB:Q3KNS6	ZNF829
UniProtKB:Q8IUR6	CREBRF
UniProtKB:Q8N3J9	ZNF664
UniProtKB:Q9HB58	SP110
UniProtKB:Q8N100	ATOH7
UniProtKB:Q99459	CDC5L
UniProtKB:P43354	NR4A2
UniProtKB:Q92753	RORB
UniProtKB:Q92754	TFAP2C
UniProtKB:Q5TEC3	ZNF697
UniProtKB:P11474	ESRRA
UniProtKB:P11473	VDR
UniProtKB:Q8TE85	GRHL3
UniProtKB:Q92786	PROX1
UniProtKB:Q15973	ZNF124
UniProtKB:A0A5F9ZHS7	NFILZ
UniProtKB:P18146	EGR1
UniProtKB:Q05066	SRY
UniProtKB:P06733	ENO1
UniProtKB:P06401	PGR
UniProtKB:Q15937	ZNF79
UniProtKB:Q15935	ZNF77
UniProtKB:P53567	CEBPG
UniProtKB:Q15928	ZNF141
UniProtKB:Q15915	ZIC1
UniProtKB:Q86YH2	ZNF280B
UniProtKB:Q15911	ZFHX3
UniProtKB:P53539	FOSB
UniProtKB:Q96C55	ZNF524
UniProtKB:Q2KHR2	RFX7
UniProtKB:P28360	MSX1
UniProtKB:P28358	HOXD10
UniProtKB:P28356	HOXD9
UniProtKB:Q03924	ZNF117
UniProtKB:Q9Y4E5	ZNF451
UniProtKB:Q8IYX0	ZNF679
UniProtKB:Q3SY56	SP6
UniProtKB:Q8TEY5	CREB3L4
UniProtKB:Q8IZ20	ZNF683
UniProtKB:Q99581	FEV
UniProtKB:Q92826	HOXB13
UniProtKB:Q8IYN0	ZNF100
UniProtKB:P31277	HOXD11
UniProtKB:P31276	HOXC13
UniProtKB:P31275	HOXC12
UniProtKB:P31274	HOXC9
UniProtKB:P31273	HOXC8
UniProtKB:P31271	HOXA13
UniProtKB:P31269	HOXA9
UniProtKB:P31268	HOXA7
UniProtKB:P31267	HOXA6
UniProtKB:P31260	HOXA10
UniProtKB:P08151	GLI1
UniProtKB:Q8IYI8	ZNF440
UniProtKB:P31249	HOXD3
UniProtKB:Q9UPW6	SATB2
UniProtKB:Q15270	NKX1-1
UniProtKB:O96006	ZBED1
UniProtKB:O96004	HAND1
UniProtKB:Q8IYA7	MKX
UniProtKB:Q8IUE1	TGIF2LX
UniProtKB:Q8IUE0	TGIF2LY
UniProtKB:P55347	PKNOX1
UniProtKB:Q6DJT9	PLAG1
UniProtKB:Q9BZM3	GSX2
UniProtKB:Q9BZI1	IRX2
UniProtKB:Q9BZE3	BARHL1
UniProtKB:Q9BZE0	GLIS2
UniProtKB:Q6NUN9	ZNF746
